Card Name,Original Yu-Gi-Oh! Page,Matched TCG Snapshot,Passcode,Status,Attribute,Type,Level,Rank,Link Rating,Link Arrows,Pendulum Scale,ATK,DEF,Spell/Trap Property,Summoning Condition,Pendulum Effect / Condition,Lore / Effect / Description,Supports,Anti-Supports,Card Actions,Effect Types
Amazoness Archers,1,Yes,,,TRAP,,,,,,,,,,,,"When an opponent's monster declares an attack, while you control an ""Amazoness"" monster: Change all monsters your opponent currently controls to face-up Attack Position (Flip effects are not activated), they lose 500 ATK, also they must attack this turn, if able.",Supports archetypes /Amazoness,Flip monster,Activates upon attack declaration/Changes battle positions/Flips monsters face-up,Activation requirement/Effect
Amazoness Spellcaster,1,Yes,,,SPELL,,,,,,,,,,,,"Target 1 ""Amazoness"" monster you control and 1 face-up monster your opponent controls; switch the original ATK of those targets until the end of this turn.",Supports archetypes /Amazoness,,,Effect
Amazoness Swords Woman,1,Yes,,,EARTH,[Warrior/Effect],4,,,,,1500,1600,,,,Your opponent takes any battle damage you would have taken from battles involving this card instead.,,,,Continuous
Ambush Shield,1,No,,,,,,,,,,,,,,,,,,,
Amphibian Beast,2,Yes,,,WATER,[Fish/Normal],6,,,,,2400,2000,,,,"On land or in the sea, the speed of this monster is unmatchable.",,,,
Amplifier,2,Yes,,,SPELL,,,,,,,,,Equip,,,"Equip only to ""Jinzo"". This card's activation and effect cannot be negated. The equipped monster's effect, ""Trap Cards, and their effects on the field, cannot be activated. Negate all Trap effects on the field."" becomes ""Your opponent cannot activate Trap Cards, or their effects on the field. Negate all Trap effects your opponent controls."" When this card leaves the field, destroy the equipped monster.",Jinzo,,Overwrites card effects/Activates when it leaves the field/Activation cannot be negated/Effect that cannot be negated,Condition/Continuous-like
Ancient Elf,2,Yes,,,LIGHT,[Spellcaster/Normal],4,,,,,1450,1200,,,,This elf is rumored to have lived for thousands of years. He leads an army of spirits against his enemies.,,,,
Ancient Lamp,2,Yes,,,WIND,[Spellcaster/Effect],3,,,,,900,1400,,,,"During your Main Phase: You can Special Summon ""La Jinn the Mystical Genie of the Lamp"" from your hand. This card must be face-up on the field to activate and to resolve this effect. Before damage calculation, if this card is being attacked by an opponent's monster, and was face-down at the start of the Damage Step: You can target 1 monster your opponent controls, except the attacking monster; change the attack target to that opponent's monster and perform damage calculation.",La Jinn the Mystical Genie of the Lamp,,,Ignition/Condition/Trigger
Anti-Magic Arrows,2,Yes,,,SPELL,,,,,,,,,Quick-Play,,,"At the start of the Battle Phase: For the rest of this turn after this card resolves, neither player can activate Spell/Trap Cards, or their effects. Neither player can activate cards or effects in response to this card's activation.",,,,Activation requirement/Effect/Condition
Aqua Madoor,2,Yes,,,WATER,[Spellcaster/Normal],4,,,,,1200,2000,,,,A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.,,,,
Arduous Decision,2,No,,,,,,,,,,,,,,,,,,,
Armaill,2,Yes,,,EARTH,[Warrior/Normal],3,,,,,700,1300,,,,A strange warrior who manipulates three deadly blades with both hands and his tail.,,,,
Armored Centipede,2,No,,,,,,,,,,,,,,,,,,,
Armored Gravitation,2,No,,,,,,,,,,,,,,,,,,,
Armored Lizard,2,Yes,,,EARTH,[Reptile/Normal],4,,,,,1500,1200,,,,A lizard with a very tough hide and a vicious bite.,,,,
Armored Zombie,2,Yes,,,DARK,[Zombie/Normal],3,,,,,1500,0,,,,This warrior blindly swings a deadly blade with devastating force.,,,,
Attack Guidance Armor,2,Yes,,,TRAP,,,,,,,,,,,,"When a monster declares an attack: Activate 1 of these effects;??Destroy the attacking monster.??Target 1 monster on either field, except the attacking monster; change the attack target to it and perform damage calculation.You can only activate 1 ""Attack Guidance Armor"" per turn.",,,Activates upon attack declaration,Effect/Condition
Attack Guidance Barrier,2,No,,,,,,,,,,,,,,,,,,,
Attrition,2,No,,,,,,,,,,,,,,,,,,,
Aura Armor,2,No,,,,,,,,,,,,,,,,,,,
Axe Raider,2,Yes,,,EARTH,[Warrior/Normal],4,,,,,1700,1150,,,,An axe-wielding monster of tremendous strength and agility.,,,,
B. Skull Dragon,2,No,,,,,,,,,,,,,,,,,,,
Baby Dragon,2,Yes,,,WIND,[Dragon/Normal],3,,,,,1200,700,,,,"Much more than just a child, this dragon is gifted with untapped power.",,,,
Backup Gardna,2,No,,,,,,,,,,,,,,,,,,,
Barox,2,Yes,,,DARK,[Fiend/Fusion],5,,,,,1380,1530,,,,"Frenzied Panda + ""Ryu-Kishin""",,,,
Barrel Dragon,2,Yes,,,DARK,[Machine/Effect],7,,,,,2600,2200,,,,Once per turn: You can target 1 monster your opponent controls; toss a coin 3 times and destroy it if at least 2 of the results are heads.,,,,Ignition
Basic Insect,2,Yes,,,EARTH,[Insect/Normal],2,,,,,500,700,,,,"Usually found traveling in swarms, this creature's ideal environment is the forest.",,,,
Battle Ox,2,Yes,,,EARTH,[Beast-Warrior/Normal],4,,,,,1700,1000,,,,"A monster with tremendous power, it destroys enemies with a swing of its axe.",,,,
Battle Steer,3,Yes,,,EARTH,[Beast-Warrior/Normal],5,,,,,1800,1300,,,,"A bull monster often found in the woods, it charges enemy monsters with a pair of deadly horns.",,,,
Battle Warrior,3,Yes,,,EARTH,[Warrior/Normal],3,,,,,700,1000,,,,A warrior that fights with his bare hands!!!,,,,
Beaver Warrior,3,Yes,,,EARTH,[Beast-Warrior/Normal],4,,,,,1200,1500,,,,What this creature lacks in size it makes up for in defense when battling in the prairie.,,,,
Beckon to the Dark,3,No,,,,,,,,,,,,,,,,,,,
Berserk Dragon,3,Yes,,,DARK,[Zombie/Effect],8,,,,,3500,0,,,,"Cannot be Normal Summoned/Set. Must be Special Summoned with ""A Deal with Dark Ruler"" and cannot be Special Summoned by other ways. This card can attack all monsters your opponent controls once each. During each of your End Phases, this card loses 500 ATK.",A Deal with Dark Ruler,,,Summon/Continuous
Berserker Soul,3,Yes,,,SPELL,,,,,,,,,Quick-Play,,,"When a monster you control inflicts 1500 or less damage to your opponent by a direct attack: Discard your entire hand (min. 1); excavate the top card of your Deck, and if it is a Monster Card, send it to the GY, and if you do that, inflict 500 damage to your opponent, then repeat this effect up to 7 more times or until you excavate a non-Monster Card. If a non-Monster Card is excavated, place it on the top of your Deck. You can only activate 1 ""Berserker Soul"" per turn.",,,Discards for cost/Excavates from the player's Deck/Sends excavated cards to the Graveyard/Sends from the top of your Deck to your Graveyard/Places excavated cards on the top of the Deck,Activation requirement/Cost/Effect/Condition
Beta The Magnet Warrior,3,Yes,,,EARTH,[Rock/Normal],4,,,,,1700,1600,,,,"Alpha, Beta, and Gamma meld as one to form a powerful monster.",,,,
Bickuribox,3,Yes,,,DARK,[Fiend/Fusion],7,,,,,2300,2000,,,,"Crass Clown + ""Dream Clown""",,,,
Big Insect,3,Yes,,,EARTH,[Insect/Normal],4,,,,,1200,1500,,,,"A giant ant that dwells in the jungle, it is powerful whether attacking or defending.",,,,
Big Shield Gardna,3,Yes,,,EARTH,[Warrior/Effect],4,,,,,100,2600,,,,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",,,Flips monsters face-up/Changes battle positions,Quick/Continuous
Black Hole Shield,3,No,,,,,,,,,,,,,,,,,,,
Black Illusion Ritual,3,Yes,,,SPELL,,,,,,,,,Ritual,,,"This card is used to Ritual Summon ""Relinquished"". You must also Tribute a monster from your hand or field whose Level is 1 or more.",,,Tributes as an effect,Effect
Black Luster Ritual,3,Yes,,,SPELL,,,,,,,,,Ritual,,,"This card is used to Ritual Summon ""Black Luster Soldier"". You must also Tribute monsters from your hand or field whose total Levels equal 8 or more.",,,Tributes as an effect,Effect
Black Luster Soldier,3,Yes,,,EARTH,[Warrior/Ritual],8,,,,,3000,2500,,,,"You can Ritual Summon this card with ""Black Luster Ritual"".",,,,
Black Pendant,3,Yes,,,SPELL,,,,,,,,,Equip,,,The equipped monster gains 500 ATK. When this card is sent from the field to the Graveyard: Inflict 500 damage to your opponent.,,,Activates from your Graveyard,Continuous-like/Trigger-like
Blackland Fire Dragon,3,Yes,,,DARK,[Dragon/Normal],4,,,,,1500,800,,,,"A dragon that dwells in the depths of darkness, its vulnerability lies in its poor eyesight.",,,,
Blade Knight,3,Yes,,,LIGHT,[Warrior/Effect],4,,,,,1600,1000,,,,"Gains 400 ATK while you have 1 or less cards in your hand. If you control no other monsters, the effects of Flip monsters destroyed by battle with this card are negated.",,Flip monster,,Continuous
Blast Sphere,3,Yes,,,DARK,[Machine/Effect],4,,,,,1400,1400,,,,"If this face-down Defense Position card was attacked by an opponent's monster, before damage calculation: Equip this card to the attacking monster. Then, during your opponent's next Standby Phase: Destroy the monster this card is equipped to, and if you do, inflict damage to your opponent equal to the ATK the destroyed monster had on the field.",,,Equips self from field,Trigger/Trigger-like
Block Attack,3,Yes,,,SPELL,,,,,,,,,,,,Target 1 face-up Attack Position monster your opponent controls; change that target to face-up Defense Position.,,,Changes battle positions,Effect
Blue Flame Swordsman,3,Yes,,,FIRE,[Warrior/Effect],4,,,,,1800,1600,,,,"Once per turn, during the Battle Phase (Quick Effect): You can target 1 other Warrior monster you control; this card loses exactly 600 ATK, and if it does, that monster gains 600 ATK. When this card in your possession is destroyed by your opponent's card and sent to your GY: You can banish this card from your GY, then target 1 FIRE Warrior monster in your GY; Special Summon that target.",Warrior/FIRE,,Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard,Quick/Trigger
Blue-Eyes Toon Dragon,3,Yes,,,LIGHT,[Dragon/Toon?Effect],8,,,,,3000,2500,,,,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 2 monsters, while you control ""Toon World"". Cannot attack the turn it is Special Summoned. You must pay 500 LP to declare an attack with this monster. If ""Toon World"" on the field is destroyed, destroy this card. Can attack your opponent directly, unless they control a Toon monster, in which case this card must target a Toon monster for its attacks.",Toon World/Toon monster,,Tributes for cost,Summon/Continuous
Blue-Eyes Ultimate Dragon,3,Yes,,,LIGHT,[Dragon/Fusion],12,,,,,4500,3800,,,,"Blue-Eyes White Dragon + ""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon""",,,,
Blue-Eyes White Dragon,3,Yes,,,LIGHT,[Dragon/Normal],8,,,,,3000,2500,,,,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.",,,,
Boar Soldier,3,Yes,,,EARTH,[Beast-Warrior/Effect],4,,,,,2000,500,,,,"This card can only be summoned by a Flip Summon. If summoned by a Normal Summon, the card is destroyed. If your opponent has 1 or more monsters under his/her control, the ATK of this card is decreased by 1000 points.",,,,Trigger/Continuous
Bolt Penguin,4,Yes,,,WATER,[Thunder/Normal],3,,,,,1100,800,,,,"With each arm forming an electric whip, this monster paralyzes its enemies with electric shocks.",,,,
Book of Secret Arts,4,Yes,,,SPELL,,,,,,,,,Equip,,,A Spellcaster-Type monster equipped with this card increases its ATK and DEF by 300 points.,Spellcaster,,,Continuous-like
Bottomless Trap Hole,4,Yes,,,TRAP,,,,,,,,,,,,"When your opponent Summons a monster(s) with 1500 or more ATK: Destroy that monster(s) with 1500 or more ATK, and if you do, banish it.",,,,Activation requirement/Effect
Bowganian,4,Yes,,,DARK,[Machine/Effect],3,,,,,1300,1000,,,,"Once per turn, during your Standby Phase: Inflict 600 damage to your opponent.",,,,Trigger
Brain Control,4,Yes,,,SPELL,,,,,,,,,,,,"Pay 800 LP, then target 1 face-up monster your opponent controls that can be Normal Summoned/Set; take control of that target until the End Phase.",,,Changes control,Cost/Effect
Breaker the Magical Warrior,4,Yes,,,DARK,[Spellcaster/Effect],4,,,,,1600,1000,,,,"If this card is Normal Summoned: Place 1 Spell Counter on it (max. 1). Gains 300 ATK for each Spell Counter on it. You can remove 1 Spell Counter from this card, then target 1 Spell/Trap on the field; destroy that target.",,,Activates upon Normal Summon,Trigger/Continuous/Ignition
Breath of Light,4,Yes,,,SPELL,,,,,,,,,,,,Destroy all face-up Rock-Type monsters on the field.,,Rock,,Effect
Brigadier of Landstar,4,No,,,,,,,,,,,,,,,,,,,
Bronze Knights,4,No,,,,,,,,,,,,,,,,,,,
Burning Knuckle,4,No,,,,,,,,,,,,,,,,,,,
Burning Land,4,Yes,,,SPELL,,,,,,,,,Continuous,,,"When this card is activated: If there are any Field Spell Cards on the field, destroy them. During each player's Standby Phase: The turn player takes 500 damage.",,Field Spell Card,,Effect/Trigger-like
Burning Soul Sword,4,No,,,,,,,,,,,,,,,,,,,
Burst Breath,4,Yes,,,TRAP,,,,,,,,,,,,Tribute 1 Dragon-Type monster; destroy all face-up monsters on the field whose DEF is less than or equal to the ATK the Tributed monster had on the field.,Dragon,,Tributes for cost,Cost/Effect
Buster Knuckle,4,No,,,,,,,,,,,,,,,,,,,
Buster Pyle,4,No,,,,,,,,,,,,,,,,,,,
Butterfly Dagger - Elma,4,Yes,,,SPELL,,,,,,,,,Equip,,,The equipped monster gains 300 ATK. When this card is destroyed and sent to the Graveyard while equipped: You can return this card to the hand.,,,Returns itself from Graveyard to hand,Continuous-like/Trigger-like
Call of the Haunted,4,Yes,,,TRAP,,,,,,,,,Continuous,,,"Activate this card by targeting 1 monster in your GY; Special Summon that target in Attack Position. When this card leaves the field, destroy that monster. When that monster is destroyed, destroy this card.",,,,Effect/Continuous-like
Cannon Soldier,4,Yes,,,DARK,[Machine/Effect],4,,,,,1400,1300,,,,You can Tribute 1 monster; inflict 500 damage to your opponent.,,,Tributes for cost,Ignition
Card Destruction,4,Yes,,,SPELL,,,,,,,,,,,,"Both players discard as many cards as possible from their hands, then each player draws the same number of cards they discarded.",,,You discard/Your opponent discards/You draw cards/Your opponent draws cards/Discards for effect,Effect
Card Exchange,4,No,,,,,,,,,,,,,,,,,,,
Card Guard,4,Yes,,,DARK,[Fiend/Effect],4,,,,,1600,500,,,,"If this card is Normal or Special Summoned: Place 1 Guard Counter on it. This card gains 300 ATK for each Guard Counter on it. Once per turn: You can target 1 other face-up card you control; remove 1 Guard Counter from this card, and if you do, place 1 Guard Counter on that target (if that card would ever be destroyed, remove 1 Guard Counter from it instead).",,,Activates upon Normal Summon/Activates upon Special Summon,Trigger/Continuous/Ignition
Card of Demise,4,Yes,,,SPELL,,,,,,,,,,,,"Draw until you have 3 cards in your hand, also for the rest of this turn after this card resolves, your opponent takes no damage. During the End Phase of this turn, send your entire hand to the GY. You can only activate 1 ""Card of Demise"" per turn. You cannot Special Summon during the turn you activate this card.",,,You draw cards/Sends from your hand to your Graveyard,Effect/Lingering/Condition
Card of Safe Return,4,Yes,,,SPELL,,,,,,,,,Continuous,,,When a monster(s) is Special Summoned from your GY (except during the Damage Step): You can draw 1 card.,,,Activates upon Special Summon/You draw cards,Trigger-like
Castle of Dark Illusions,4,Yes,,,DARK,[Fiend/Flip?Effect],4,,,,,920,1930,,,,"FLIP: Increases the ATK and DEF of all Zombie-Type monsters by 200 points. As long as this card remains face-up on the field, the ATK and DEF of Zombie-Type monsters continues to increase by 200 points during each of your Standby Phases. This effect continues until your 4th turn after the card is activated.",Zombie,,Activates upon being flipped face-up,Flip/Continuous/Condition
Castle Walls,5,Yes,,,TRAP,,,,,,,,,,,,Increase a selected monster's DEF by 500 points during the turn this card is activated.,,,,Effect
Catapult Turtle,5,Yes,,,WATER,[Aqua/Effect],5,,,,,1000,2000,,,,Once per turn: You can Tribute 1 monster; inflict damage to your opponent equal to half the Tributed monster's ATK on the field.,,,Tributes for cost,Ignition
Celebration of Creation,5,No,,,,,,,,,,,,,,,,,,,
Celestial Sword - Eatos,5,Yes,,,SPELL,,,,,,,,,Equip,,,"(This card is always treated as a ""Noble Arms"" card.)The equipped monster gains 500 ATK. When this card is sent from the field to the GY: You can target 1 ""Guardian Eatos"" you control; it gains 500 ATK for each banished monster.",Guardian Eatos,,Activates from your Graveyard,Condition/Continuous-like/Trigger-like
Cell Division,5,No,,,,,,,,,,,,,,,,,,,
Celtic Guardian,5,Yes,,,EARTH,[Warrior/Normal],4,,,,,1400,1200,,,,"An elf who learned to wield a sword, he baffles enemies with lightning-swift attacks.",,,,
Chain Destruction,5,Yes,,,TRAP,,,,,,,,,,,,When a monster(s) with 2000 or less ATK is Summoned: Target 1 of them; destroy all cards with that name in its controller's hand and Main Deck.,,,,Activation requirement/Effect
Chain of the Underworld,5,No,,,,,,,,,,,,,,,,,,,
Change of Heart,5,Yes,,,SPELL,,,,,,,,,,,,Target 1 monster your opponent controls; take control of it until the End Phase.,,,Changes control,Effect
Chaos Barrier Field,5,No,,,,,,,,,,,,,,,,,,,
Chaos Shield,5,No,,,,,,,,,,,,,,,,,,,
Charm of Lamentation,5,No,,,,,,,,,,,,,,,,,,,
Chasm of Spikes,5,No,,,,,,,,,,,,,,,,,,,
Chimera the Flying Mythical Beast,5,Yes,,,WIND,[Beast/Fusion?Effect],6,,,,,2100,1800,,"Gazelle the King of Mythical Beasts + ""Berfomet""",,"(This card is always treated as a ""Phantom Beast"" card.)When this card is destroyed: You can target 1 ""Berfomet"" or 1 ""Gazelle the King of Mythical Beasts"" in your GY; Special Summon that target.",Berfomet/Gazelle the King of Mythical Beasts,,Activates if destroyed by battle/Activates if destroyed by card effect,Condition/Trigger
Chiron the Mage,5,Yes,,,EARTH,[Beast-Warrior/Effect],4,,,,,1800,1000,,,,"Once per turn: You can discard 1 Spell, then target 1 Spell/Trap your opponent controls; destroy that target.",,,Discards for cost,Ignition
Chorus of Sanctuary,5,Yes,,,SPELL,,,,,,,,,Field,,,Increase the DEF of all Defense Position monsters by 500 points.,,,,Continuous-like
Chosen One,5,Yes,,,SPELL,,,,,,,,,,,,"Select 1 Monster Card and 2 non-Monster Cards from your hand. Your opponent randomly selects 1 card among them. If it is a Monster Card, it is Special Summoned and send the remaining 2 cards to the Graveyard. If not, send all the cards to the Graveyard.",,,Sends from hand to Graveyard/Sends from your hand to your Graveyard,Effect
Class System,5,No,,,,,,,,,,,,,,,,,,,
Clockwork Night,5,Yes,,,SPELL,,,,,,,,,Continuous,,,"All face-up monsters on the field become Machine monsters. Machine monsters you control gain 500 ATK/DEF, also Machine monsters your opponent controls lose 500 ATK/DEF. You can banish this card from your GY, then discard 1 card; add 1 EARTH Machine monster from your Deck to your hand. You can only use this effect of ""Clockwork Night"" once per turn. You can only activate 1 ""Clockwork Night"" per turn.",Machine/EARTH,Machine,Adds from Deck to hand/Discards for effect,Continuous-like/Continuous-like/Ignition-like/Condition/Condition
Cloning,5,Yes,,,TRAP,,,,,,,,,,,,"When your opponent Normal or Flip Summons a monster that has a Level: Target that face-up monster; Special Summon 1 ""Clone Token"", with the same original Type, Attribute, Level, ATK, and DEF as that target. When that target is destroyed and sent to the GY, destroy this Token.",,,,Activation requirement/Effect/Condition
Clown Zombie,5,Yes,,,DARK,[Zombie/Normal],2,,,,,1350,0,,,,A clown revived by the powers of darkness. Its deadly dance has sent many monsters to their graves.,,,,
Cockroach Knight,5,Yes,,,EARTH,[Insect/Effect],3,,,,,800,900,,,,"When this card has been sent to the Graveyard, it is returned to the top of the Deck.",,,Returns itself from Graveyard to Deck,Trigger
Cocoon of Evolution,5,Yes,,,EARTH,[Insect/Effect],3,,,,,0,2000,,,,"You can target 1 ""Petit Moth"" you control; equip this card from your hand to that target. While equipped by this effect, the original ATK/DEF of that ""Petit Moth"" becomes the ATK/DEF of ""Cocoon of Evolution"".",Petit Moth,,Activates from your hand/Equips self from hand,Ignition/Continuous-like
Coffin Seller,5,Yes,,,TRAP,,,,,,,,,Continuous,,,Each time a monster(s) is sent to your opponent's GY: Inflict 300 damage to your opponent.,,,,Trigger-like
Cold Wave,6,Yes,,,SPELL,,,,,,,,,,,,"This card can only be activated at the start of Main Phase 1. Until your next turn, you and your opponent cannot play or Set any Spell or Trap Cards.",,,Prevents your opponent's Sets,Activation requirement/Lingering
Collected Power,6,Yes,,,TRAP,,,,,,,,,,,,"Target 1 face-up monster on the field; equip it with all Equip Cards on the field. If any of those Equip Cards is now equipped to an incorrect target, destroy that Equip Card.",Equip Card,Equip Card,Moves Equip Cards,Effect/Condition
Command Angel,6,No,,,,,,,,,,,,,,,,,,,
Command Silencer,6,No,,,,,,,,,,,,,,,,,,,
Compensation Mediation,6,No,,,,,,,,,,,,,,,,,,,
Contagion of Madness,6,No,,,,,,,,,,,,,,,,,,,
Contract with Exodia,6,Yes,,,SPELL,,,,,,,,,,,,"If you have all 5 of ""Exodia the Forbidden One"", ""Right Arm of the Forbidden One"", ""Left Arm of the Forbidden One"", ""Right Leg of the Forbidden One"", and ""Left Leg of the Forbidden One"" in your Graveyard: Special Summon 1 ""Exodia Necross"" from your hand.",Exodia the Forbidden One/Right Arm of the Forbidden One/Left Arm of the Forbidden One/Right Leg of the Forbidden One/Left Leg of the Forbidden One/Exodia Necross,,,Activation requirement/Effect
Copycat,6,Yes,,,LIGHT,[Spellcaster/Effect],1,,,,,0,0,,,,If this card is Summoned: Target 1 face-up monster your opponent controls; this card's ATK/DEF become equal to that monster's original ATK/DEF.,,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon,Trigger
Crass Clown,6,Yes,,,DARK,[Fiend/Effect],4,,,,,1350,1400,,,,If this Defense Position card is changed to Attack Position: Target 1 monster your opponent controls; return that target to the hand.,,,Activates if battle positions change/Returns from field to hand,Trigger
Crawling Dragon,6,Yes,,,EARTH,[Dragon/Normal],5,,,,,1600,1400,,,,"This weakened dragon can no longer fly, but is still a deadly force to be reckoned with.",,,,
Crush Card Virus,6,Yes,,,TRAP,,,,,,,,,,,,"Tribute 1 DARK monster with 1000 or less ATK; your opponent takes no damage until the end of the next turn after this card resolves, also, you look at your opponent's hand and all monsters they control, and if you do, destroy the monsters among them with 1500 or more ATK, then your opponent can destroy up to 3 monsters with 1500 or more ATK in their Deck.",DARK,,Tributes for cost/Reveals face-down cards/Reveals your opponent's hand,Cost/Effect
Crystal Seal,6,No,,,,,,,,,,,,,,,,,,,
Curse of Dragon,6,Yes,,,DARK,[Dragon/Normal],5,,,,,2000,1500,,,,A wicked dragon that taps into dark forces to execute a powerful attack.,,,,
Curse of Fiend,6,Yes,,,SPELL,,,,,,,,,,,,"Changes the battle positions of all Attack Position monsters on the field to Defense Position and vice-versa. These positions cannot be changed during the turn this card is activated except by the effect of a Spell, Trap or Effect Monster Card. You can activate this card only during your Standby Phase.",,,Changes battle positions/Prevents Battle Position changes,Effect/Condition/Activation requirement
Curse of the Masked Beast,6,Yes,,,SPELL,,,,,,,,,Ritual,,,"This card is used to Ritual Summon ""The Masked Beast"". You must also Tribute monsters from your hand or field whose total Levels equal 8 or more.",,,Tributes as an effect,Effect
Curse Transfer,6,No,,,,,,,,,,,,,,,,,,,
Cursebreaker,6,No,,,,,,,,,,,,,,,,,,,
Curtain of the Dark Ones,6,Yes,,,DARK,[Spellcaster/Normal],2,,,,,600,500,,,,"A curtain that a spellcaster made, it is said to raise a dark power.",,,,
Cyber Commander,6,No,,,,,,,,,,,,,,,,,,,
Cyber Falcon,6,Yes,,,WIND,[Machine/Normal],4,,,,,1400,1200,,,,"A jet-powered hawk that travels at the speed of sound.(This card is not treated as a ""Cyber"" card.)",,,,
Cyber Harpie,6,No,,,,,,,,,,,,,,,,,,,
Cyber Jar,6,Yes,,,DARK,[Rock/Flip?Effect],3,,,,,900,900,,,,"FLIP: Destroy all monsters on the field, then both players reveal the top 5 cards from their Decks, then Special Summon all revealed Level 4 or lower monsters in face-up Attack Position or face-down Defense Position, also add any remaining cards to their hand. (If either player has less than 5 cards in their Deck, reveal as many as possible.)",,,Excavates from the player's Deck/Excavates from the opponent's Deck/Adds excavated cards to the hand/Adds from Deck to hand,Flip
Cyber Raider,6,Yes,,,DARK,[Machine/Effect],4,,,,,1400,1000,,,,If this card is Summoned: Activate 1 of these effects.?Target 1 Equip Card on the field; destroy that target.?Target 1 Equip Card on the field; equip that target to this card.,Equip Card,Equip Card,Moves Equip Cards,Trigger
Cyber Shield,6,Yes,,,SPELL,,,,,,,,,Equip,,,"Equip only to ""Harpie Lady"" or ""Harpie Lady Sisters"". It gains 500 ATK.",Harpie Lady/Harpie Lady Sisters,,,Condition/Continuous-like
Cyber Soldier of Darkworld,7,Yes,,,DARK,[Machine/Normal],4,,,,,1400,1200,,,,"A mechanical soldier that won't stop attacking until all life readings have been extinguished from its sensors.(This card is not treated as a ""Cyber"" card.)",,,,
Cyber-Tech Alligator,7,Yes,,,WIND,[Machine/Normal],5,,,,,2500,1600,,,,"Originally a pterodactyl, he was viciously attacked by a dragon. Using the newest technologies, his keeper saved him from near-fatal wounds and brought him back as a powerful Cyborg.(This card is not treated as a ""Cyber"" card.)",,,,
